Level,timeStamp,IP,message
info,11/15/2020 9:52:37 PM,192.168.189.1,Before executing User constructor
warn,11/15/2020 9:52:37 PM,192.168.189.1,New login attempt
info,11/15/2020 9:52:37 PM,192.168.189.1,Using USER constructor
warn,11/15/2020 9:52:37 PM,192.168.189.1,Values username << test >> and password << test >> are set using constructor.
info,11/15/2020 9:52:37 PM,192.168.189.1,User << test >> tried a clear authentication
warn,11/15/2020 9:52:37 PM,192.168.189.1,[{'id': 1, 'username': 'test', 'password': 'test', 'email': 'test@test.com'}]
info,11/15/2020 9:53:35 PM,192.168.189.1,Before executing User constructor
warn,11/15/2020 9:53:35 PM,192.168.189.1,New login attempt
info,11/15/2020 9:53:35 PM,192.168.189.1,Using USER constructor
warn,11/15/2020 9:53:35 PM,192.168.189.1,Values username << test '--- >> and password << sdfsdfjsdo >> are set using constructor.
info,11/15/2020 9:53:35 PM,192.168.189.1,After executing User constructor
warn,11/15/2020 9:53:35 PM,192.168.189.1,User << test >> tried a SQL Injection with <<  '--- >> 
warn,11/15/2020 9:53:35 PM,192.168.189.1,There was no Database leakage
info,11/15/2020 11:06:04 PM,192.168.189.1,Before executing User constructor
warn,11/15/2020 11:06:04 PM,192.168.189.1,New login attempt
info,11/15/2020 11:06:04 PM,192.168.189.1,Using USER constructor
warn,11/15/2020 11:06:04 PM,192.168.189.1,Values username << test >> and password << dasdasd >> are set using constructor.
info,11/15/2020 11:06:04 PM,192.168.189.1,User << test >> tried a clear authentication
warn,11/15/2020 11:06:04 PM,192.168.189.1,There was no Database leakage with result: 
info,11/15/2020 11:06:31 PM,192.168.189.1,Before executing User constructor
warn,11/15/2020 11:06:31 PM,192.168.189.1,New login attempt
info,11/15/2020 11:06:31 PM,192.168.189.1,Using USER constructor
warn,11/15/2020 11:06:31 PM,192.168.189.1,Values username << test >> and password << test >> are set using constructor.
info,11/15/2020 11:06:31 PM,192.168.189.1,User << test >> tried a clear authentication
